Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Feb 05, 2018",44.52,46.35,47.26,44.5,47.87M
"Feb 02, 2018",46.15,47.32,47.79,46.1,28.66M
"Feb 01, 2018",47.65,47.7,48.47,47.45,28.84M
"Jan 31, 2018",48.14,49.23,49.25,47.56,41.62M
"Jan 30, 2018",48.79,49.48,50.06,48.74,32.81M
"Jan 29, 2018",49.98,49.6,50.85,49.37,46.30M
"Jan 26, 2018",50.08,48.38,50.15,48.12,86.92M
"Jan 25, 2018",45.3,45.88,46.37,45.17,36.76M
"Jan 24, 2018",45.51,45.9,46.13,44.96,32.46M
"Jan 23, 2018",46.06,45.81,46.09,45.63,22.14M
"Jan 22, 2018",45.75,44.8,45.79,44.79,27.71M
"Jan 19, 2018",44.82,44.62,44.89,44.25,25.78M
"Jan 18, 2018",44.48,44.4,44.73,44.17,26.83M
"Jan 17, 2018",44.39,43.55,44.45,43.51,32.37M
"Jan 16, 2018",43.14,43.55,43.79,42.88,38.37M
"Jan 12, 2018",43.24,43.45,43.6,43.01,29.97M
"Jan 11, 2018",43.41,42.8,43.58,42.45,35.37M
"Jan 10, 2018",42.5,43.33,43.6,42.44,45.73M
"Jan 09, 2018",43.62,44.7,44.84,43.49,44.28M
"Jan 08, 2018",44.74,44.27,44.84,43.96,33.73M
"Jan 05, 2018",44.74,44.43,45.15,43.9,41.82M
"Jan 04, 2018",44.43,43.52,44.65,42.69,89.21M
"Jan 03, 2018",45.26,45.47,46.21,43.65,116.48M
"Jan 02, 2018",46.85,46.38,46.9,46.21,23.37M
"Dec 29, 2017",46.16,46.21,46.49,46.09,17.39M
"Dec 28, 2017",46.22,46.36,46.36,45.95,9.50M
"Dec 27, 2017",46.11,46.11,46.36,46.0,13.36M
"Dec 26, 2017",46.08,46.28,46.47,45.95,15.53M
"Dec 22, 2017",46.7,46.33,47.02,46.02,33.91M
"Dec 21, 2017",46.76,47.54,47.59,46.56,42.96M
"Dec 20, 2017",47.56,47.47,47.64,46.66,40.93M
"Dec 19, 2017",47.04,46.3,47.26,45.89,41.42M
"Dec 18, 2017",46.26,45.15,46.35,45.04,50.37M
"Dec 15, 2017",44.56,43.4,44.84,43.07,47.48M
"Dec 14, 2017",43.26,43.43,43.57,43.02,19.64M
"Dec 13, 2017",43.34,43.65,43.66,43.24,21.40M
"Dec 12, 2017",43.33,43.47,43.62,43.08,16.56M
"Dec 11, 2017",43.66,43.28,43.78,43.25,20.43M
"Dec 08, 2017",43.35,43.35,43.58,43.11,23.15M
"Dec 07, 2017",43.08,43.46,43.6,42.78,32.71M
"Dec 06, 2017",43.45,43.14,43.72,42.67,27.71M
"Dec 05, 2017",43.44,44.6,44.9,43.23,30.63M
"Dec 04, 2017",44.49,45.02,45.3,44.33,28.00M
"Dec 01, 2017",44.68,44.73,44.84,43.53,26.66M
"Nov 30, 2017",44.84,44.36,45.2,44.33,34.15M
"Nov 29, 2017",43.95,44.85,45.09,43.77,27.04M
"Nov 28, 2017",44.73,44.65,44.84,44.32,20.19M
"Nov 27, 2017",44.49,44.42,44.61,44.27,18.20M
"Nov 24, 2017",44.75,44.55,44.77,44.43,6.47M
"Nov 22, 2017",44.65,44.94,44.95,44.53,19.54M
"Nov 21, 2017",44.94,44.72,45.22,44.71,21.87M
"Nov 20, 2017",44.62,44.73,45.12,44.5,22.42M
"Nov 17, 2017",44.63,45.5,45.62,44.62,63.80M
"Nov 16, 2017",45.65,45.63,46.07,45.46,26.44M
"Nov 15, 2017",45.46,45.39,45.8,45.17,17.16M
"Nov 14, 2017",45.86,45.7,45.92,45.32,22.20M
"Nov 13, 2017",45.75,45.26,45.94,45.25,19.00M
"Nov 10, 2017",45.58,46.04,46.09,45.38,24.10M
"Nov 09, 2017",46.3,46.05,46.39,45.65,25.57M
"Nov 08, 2017",46.7,46.62,46.7,46.28,21.57M
"Nov 07, 2017",46.78,46.7,47.09,46.39,24.46M
"Nov 06, 2017",46.7,46.6,46.74,46.09,34.03M
"Nov 03, 2017",46.34,47.2,47.3,45.6,39.30M
"Nov 02, 2017",47.1,46.61,47.23,46.21,44.60M
"Nov 01, 2017",46.71,45.97,46.71,45.59,47.81M
"Oct 31, 2017",45.49,45.2,45.8,44.65,47.00M
"Oct 30, 2017",44.37,44.48,45.19,43.88,48.16M
"Oct 27, 2017",44.4,43.3,45.0,43.1,90.03M
"Oct 26, 2017",41.35,40.91,41.58,40.71,38.25M
"Oct 25, 2017",40.78,40.89,41.05,40.49,24.03M
