,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,Day_Perc_Change,Trend
0,2019-10-24,52.23,52.11,52.42,51.44,25650000.0,10,2019,52.23,0.0,Slight or No change
1,2019-10-23,51.72,51.37,51.96,51.2,15960000.0,10,2019,52.034383561643835,-0.009764503159103932,Slight or No change
2,2019-10-22,52.01,51.9,52.32,51.89,13350000.0,10,2019,52.028460698689955,0.005607115235885418,Slight or No change
3,2019-10-21,52.13,51.52,52.17,51.34,13120000.0,10,2019,52.04802878965923,0.002307248606037371,Slight or No change
4,2019-10-18,51.36,51.75,51.82,51.03,16980000.0,10,2019,51.910681871620035,-0.014770765394206853,Slight or No change
5,2019-10-17,51.86,52.63,52.84,51.38,16920000.0,10,2019,51.902272994704845,0.009735202492211936,Slight or No change
6,2019-10-16,52.45,52.35,52.56,52.12,15170000.0,10,2019,51.97319931711481,0.011376783648283872,Slight or No change
7,2019-10-15,52.65,51.93,53.07,51.83,18970000.0,10,2019,52.06751983543932,0.0038131553860818457,Slight or No change
8,2019-10-14,51.64,51.9,51.95,51.44,16430000.0,10,2019,52.02147492625369,-0.019183285849952436,Slight or No change
9,2019-10-11,52.09,52.0,52.79,51.82,24170000.0,10,2019,52.03084710276143,0.008714175058094575,Slight or No change
10,2019-10-10,51.11,50.41,51.77,50.4,14610000.0,10,2019,51.96053101970418,-0.018813591860242007,Slight or No change
11,2019-10-09,50.48,50.47,50.79,50.15,12190000.0,10,2019,51.87185338050315,-0.012326354920759175,Slight or No change
12,2019-10-08,49.73,50.16,50.48,49.61,17880000.0,10,2019,51.69887985546522,-0.014857369255150576,Slight or No change
13,2019-10-07,50.62,50.7,51.23,50.56,12720000.0,10,2019,51.64026311293354,0.017896641866076868,Slight or No change
14,2019-10-04,50.92,50.35,50.97,50.03,12750000.0,10,2019,51.60306396078908,0.00592651126037147,Slight or No change
15,2019-10-03,50.03,49.5,50.07,48.53,17240000.0,10,2019,51.50038090189694,-0.017478397486252906,Slight or No change
16,2019-10-02,49.39,50.31,50.37,48.98,21440000.0,10,2019,51.341926807914554,-0.012792324605236827,Slight or No change
17,2019-10-01,50.76,51.97,52.24,50.43,18490000.0,10,2019,51.306537297723985,0.027738408584733643,Slight or No change
18,2019-09-30,51.53,51.19,51.59,50.94,14060000.0,9,2019,51.31641433511474,0.015169424743892934,Slight or No change
19,2019-09-27,50.78,50.63,51.22,50.34,14850000.0,9,2019,51.292489562997446,-0.014554628371822198,Slight or No change
20,2019-09-26,50.92,50.98,51.15,50.34,11480000.0,9,2019,51.28007432569753,0.002756990941315429,Slight or No change
21,2019-09-25,51.02,49.75,51.21,49.42,20120000.0,9,2019,51.26572047730078,0.0019638648860957897,Slight or No change
22,2019-09-24,49.82,51.1,51.18,49.64,28470000.0,9,2019,51.16099384255254,-0.023520188161505362,Slight or No change
23,2019-09-23,50.9,50.83,51.23,50.39,21570000.0,9,2019,51.14741503654213,0.02167804094741066,Slight or No change
24,2019-09-20,50.72,51.6,51.88,50.56,38630000.0,9,2019,51.11098451083359,-0.0035363457760314576,Slight or No change
25,2019-09-19,51.57,51.7,51.99,51.5,11850000.0,9,2019,51.122680241684044,0.016758675078864416,Slight or No change
26,2019-09-18,51.74,52.13,52.13,51.16,15030000.0,9,2019,51.14200604040825,0.0032964902074850144,Slight or No change
27,2019-09-17,51.95,52.05,52.14,51.35,19890000.0,9,2019,51.17414868297366,0.004058755315036633,Slight or No change
28,2019-09-16,52.2,51.9,52.28,51.7,13350000.0,9,2019,51.200827132115165,0.004812319538017418,Slight or No change
29,2019-09-13,52.54,52.76,53.0,52.23,18010000.0,9,2019,51.24621812364731,0.006513409961685701,Slight or No change
30,2019-09-12,53.01,53.0,53.33,52.06,23310000.0,9,2019,51.32034237190351,0.00894556528359347,Slight or No change
31,2019-09-11,52.79,51.6,52.79,51.38,18970000.0,9,2019,51.368944092882174,-0.004150160347104248,Slight or No change
32,2019-09-10,51.82,51.33,51.84,50.83,18530000.0,9,2019,51.38305863280195,-0.018374692176548524,Slight or No change
33,2019-09-09,51.59,51.06,52.03,51.02,20750000.0,9,2019,51.39006460981221,-0.004438440756464601,Slight or No change
34,2019-09-06,50.92,50.25,50.99,50.07,17070000.0,9,2019,51.377327692942636,-0.012987012987012991,Slight or No change
35,2019-09-05,50.1,49.92,51.17,49.87,30020000.0,9,2019,51.31922863636364,-0.01610369206598583,Slight or No change
36,2019-09-04,48.92,47.56,48.95,47.54,23470000.0,9,2019,51.23684038801996,-0.023552894211576803,Slight or No change
37,2019-09-03,46.98,47.12,47.22,46.49,15010000.0,9,2019,51.14536293093575,-0.03965658217497969,Slight or No change
38,2019-08-30,47.41,47.24,47.79,47.16,16920000.0,8,2019,51.05701747274252,0.009152830991911554,Slight or No change
39,2019-08-29,46.87,46.46,47.22,46.4,17810000.0,8,2019,50.95531293899428,-0.011390002109259667,Slight or No change
40,2019-08-28,45.79,45.7,45.91,45.37,14900000.0,8,2019,50.852436139070456,-0.02304245786217196,Slight or No change
41,2019-08-27,45.79,45.87,46.12,45.5,16930000.0,8,2019,50.740406645404164,0.0,Slight or No change
42,2019-08-26,45.56,45.82,45.82,45.25,22090000.0,8,2019,50.59502382071577,-0.00502293077091065,Slight or No change
